Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,PlateLocHeight,PlateLocSide
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,0.42486,-2.00857
0-0 Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,3.34202,-0.13425
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.88666,-1.64316
0-0 Count,Sinker,Out,GroundBall,InPlay,-13.057653,11.901112,7.92667,1.64094,-1.12165
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,4.32906,1.76597
0-0 Count,Slider,Out,Popup,InPlay,42.69481,2.061732,282.2932,3.11539,0.21182
0-0 Count,Curveball,Double,FlyBall,InPlay,25.842998,-0.749129,402.8061,2.11856,0.15141
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.75306,-2.39984
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.9638,-1.62563
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,3.38766,0.852
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.46595,-0.75675
0-0 Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,3.1192,-0.2211
0-0 Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,1.06938,0.33791
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,3.3223,1.2547
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.14173,-1.64926
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.4984,-0.59318
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,-0.19364,-1.30276
0-0 Count,Fastball,Out,LineDrive,InPlay,18.322016,22.906783,304.86746,1.96203,-0.62373
0-0 Count,Cutter,Undefined,Undefined,StrikeCalled,nan,nan,nan,3.58293,-0.76972
0-0 Count,Fastball,Out,FlyBall,InPlay,47.145041,5.085462,170.85413,2.57991,0.17083
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,50.411522,34.245944,nan,1.97822,0.00625
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,3.45782,-0.87538
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,3.54592,0.31096
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,3.46211,1.2338
0-0 Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan,0.31027,-1.80555
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.00443,-0.64105
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.30022,0.04325
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,0.47169,-0.84474
