PA,PitchofPA,Batter,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,Angle,Direction,Distance,PlateLocHeight,PlateLocSide,PitchCall,TaggedHitType,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,PitcherThrows,ExitSpeed,RelSpeed,is_single,is_double,is_triple,is_home_run
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Curveball,Undefined,,,,1.0805,-0.36865,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,76.31127,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Curveball,Undefined,,,,2.1575,1.40032,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,75.3855,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,Fastball,Undefined,,,,2.09603,-1.76395,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,88.22975,False,False,False,False
,4,"Caulfield, Garen",0.0,3.0,Walk,Fastball,Undefined,,,,4.15014,0.9676,BallCalled,Undefined,,1.0,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,87.15416,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Fastball,Undefined,46.457071,136.513516,,2.71457,-0.31698,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,75.42826,88.48206,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Fastball,Undefined,,,,1.68142,-0.18071,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,88.19606,False,False,False,False
,3,"Caulfield, Garen",2.0,0.0,Undefined,Slider,Undefined,,,,0.49343,-0.65157,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,82.30017,False,False,False,False
,4,"Caulfield, Garen",2.0,1.0,Undefined,Fastball,Single,12.722509,-20.077304,283.35727,2.50412,0.45039,InPlay,LineDrive,1.0,1.0,1.0,1.0,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,107.90495,89.39292,True,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,4.06313,0.5949,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,82.39819,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Undefined,,,,1.54935,-0.04556,StrikeSwinging,Undefined,,,,1.0,1.0,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,87.03655,False,False,False,False
,3,"Caulfield, Garen",1.0,1.0,Undefined,Slider,Undefined,,,,3.20889,-0.09895,StrikeSwinging,Undefined,,,,1.0,1.0,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,81.59613,False,False,False,False
,4,"Caulfield, Garen",2.0,1.0,Undefined,Slider,Undefined,,,,3.50654,-1.36386,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,81.51056,False,False,False,False
,5,"Caulfield, Garen",2.0,2.0,Undefined,Slider,Undefined,,,,2.45583,-1.51144,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240926-UArizona-Private-1,Right,,83.06243,False,False,False,False
,6,"Caulfield, Garen",2.0,3.0,Undefined,Fastball,Out,32.980962,3.154226,383.24845,2.17638,-0.53825,InPlay,Popup,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240926-UArizona-Private-1,Right,104.19633,88.6505,False,False,False,False
