Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,Location
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(3.35008, -0.36453)"
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.50045, -0.02903)"
Neutral Count,,,,,nan,nan,nan,"(nan, nan)"
Neutral Count,,,,,nan,nan,nan,"(nan, nan)"
Neutral Count,,,,,nan,nan,nan,"(nan, nan)"
Pitcher's Count,Curveball,Out,GroundBall,InPlay,-18.385955,-21.31345,5.33365,"(1.18312, -0.17887)"
Pitcher's Count,Slider,Out,GroundBall,InPlay,nan,nan,nan,"(1.33677, -1.17234)"
Pitcher's Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(1.88485, -0.99276)"
Pitcher's Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,37.149886,61.431252,217.12255,"(2.11449, 0.50664)"
Pitcher's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(2.46125, 0.5204)"
Pitcher's Count,Slider,Undefined,Undefined,FoulBallNotFieldable,38.722631,165.27103,nan,"(2.237, -0.3177)"
Pitcher's Count,Fastball,HomeRun,FlyBall,InPlay,26.906398,2.192136,427.63012,"(2.8528, -0.22635)"
Pitcher's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.80933, -1.26695)"
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.49343, -0.65157)"
Pitcher's Count,Fastball,Single,LineDrive,InPlay,12.722509,-20.077304,283.35727,"(2.50412, 0.45039)"
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.50654, -1.36386)"
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.45583, -1.51144)"
Pitcher's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.81932, -0.78151)"
Pitcher's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.56641, -0.04075)"
Pitcher's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(5.09659, 0.92736)"
Pitcher's Count,Curveball,HomeRun,FlyBall,InPlay,30.511815,-24.742441,427.53962,"(2.21621, 0.39373)"
Pitcher's Count,Slider,Single,LineDrive,InPlay,18.258283,-28.868481,285.26713,"(3.39514, 0.00302)"
Pitcher's Count,Slider,Single,GroundBall,InPlay,-2.227883,-3.108514,36.7328,"(2.8812, -0.58426)"
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.46211, 1.2338)"
Pitcher's Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.31027, -1.80555)"
Pitcher's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.79209, -0.43982)"
Pitcher's Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,39.769024,166.727864,nan,"(3.32402, -0.11313)"
Pitcher's Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.86711, 0.36281)"
Pitcher's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.22123, -1.47051)"
Pitcher's Count,Slider,Single,GroundBall,InPlay,-6.849058,-5.035543,15.74348,"(2.09943, -1.07516)"
