PA,PitchofPA,Batter,TaggedPitchType,PlayResult,Angle,Direction,AdjustedDirection,Distance,PlateLocHeight,PlateLocSide,CountType,PitchCall,ExitSpeed,KorBB,PositionAt110X,PositionAt110Y,PositionAt110Z,PitcherThrows,TaggedHitType,ContactPositionX,ContactPositionY,ContactPositionZ,swing,whiff,RelSpeed
,6,"Caulfield, Garen",Fastball,Out,32.980962,3.154226,-3.154226,383.24845,2.17638,-0.53825,Full Count,InPlay,104.19633,Undefined,109.43235,69.69625,11.16008,Right,Popup,1.76652,2.10079,0.51121,1.0,,88.6505
1.0,1,"Caulfield, Garen",Sinker,Undefined,,,,,3.0632,1.27958,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,90.6503
,2,"Caulfield, Garen",Sinker,Undefined,,,,,3.32858,0.95031,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.23389
,3,"Caulfield, Garen",Sinker,Out,-7.022008,4.67719,-4.67719,11.64526,1.3857,0.01039,Hitter's Count,InPlay,106.97652,Undefined,,,,Right,GroundBall,1.25202,1.2806,0.00474,1.0,,91.82921
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,0.67304,-0.99031,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,84.32963
,2,"Caulfield, Garen",Slider,Undefined,,,,,1.87495,-1.00715,Neutral Count,StrikeSwinging,,Undefined,,,,Right,Undefined,,,,1.0,1.0,82.78199
,3,"Caulfield, Garen",Slider,Undefined,,,,,3.12213,0.8602,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,82.70482
,4,"Caulfield, Garen",Sinker,Undefined,,,,,3.81932,-0.78151,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,94.83845
,5,"Caulfield, Garen",Sinker,Undefined,,,,,1.56641,-0.04075,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,95.05983
,6,"Caulfield, Garen",Sinker,Undefined,35.282533,161.573359,-161.573359,,2.92623,-0.42907,Hitter's Count,FoulBallNotFieldable,76.7161,Undefined,,,,Right,Undefined,1.15979,2.78959,0.41654,,,95.55431
,7,"Caulfield, Garen",Sinker,Undefined,34.118563,54.487454,-54.487454,,1.62631,-0.18192,Full Count,FoulBallNotFieldable,91.99247,Undefined,,,,Right,Undefined,0.99458,1.47521,-0.28536,,,95.04383
,8,"Caulfield, Garen",Slider,Undefined,,,,,2.66105,0.06714,Full Count,StrikeSwinging,,Strikeout,,,,Right,Undefined,,,,1.0,1.0,84.23322
