PA,PitchofPA,Pitcher,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,RunsScored,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ExitSpeed,RelSpeed,PreviousPitch,called_strike,ooz,Angle,Direction,Distance,PitchCall,TaggedHitType,k,bb,bbspin,pitches,zone,izswing,izmiss,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,BatterSide,PitcherThrows,PositionAt110X,PositionAt110Y,PositionAt110Z,is_single,is_double,is_triple,is_home_run,CountType,pitch_category
,2,"Berg, Jack",0.0,1.0,Undefined,Fastball,Undefined,0.0,-0.219444,4.053113,2002.768636,298.757476,10:00,5.67565,-2.9573,5.02812,-22.67734,10.65087,-17.58174,3.57829,-0.59165,,92.90178,ChangeUp,1,0,,,,StrikeCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,1
,3,"Berg, Jack",1.0,1.0,Undefined,Fastball,Out,0.0,-1.718797,3.70399,1962.911098,302.48928,10:00,5.60448,-3.0193,5.41009,-21.103,11.78493,-16.80505,2.2317,-0.94459,88.8534,93.26416,Fastball,0,1,21.656351,28.594619,276.82075,InPlay,LineDrive,,,3094.766654,1,,,,0.0,0.0,0.0,1.0,,140.0,0,0,0,1.0,1.0,20240920-UArizona-Private-1,Right,Left,92.47072,32.60394,59.5741,False,False,False,False,Neutral Count,1
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Out,0.0,-0.864867,4.987694,1988.891056,294.764293,9:45,5.70801,-3.12138,5.05013,-24.28045,8.78985,-16.83643,2.86574,0.19183,105.42326,93.44078,,0,0,19.762292,-11.958665,361.88743,InPlay,LineDrive,,,2902.911808,1,1.0,1.0,,0.0,0.0,0.0,1.0,,140.0,0,0,0,,1.0,20240920-UArizona-Private-1,Left,Left,106.02015,36.17905,-29.31912,False,False,False,False,0-0 Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,0.672701,3.054814,1571.061019,259.426266,8:45,5.57593,-2.95519,4.85141,-44.65243,-1.36811,-14.33418,2.49265,-1.25511,,81.80706,,1,1,,,,StrikeCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",1.0,0.0,Undefined,Slider,Undefined,0.0,0.856658,2.914784,2338.597337,81.141071,2:45,5.45195,-3.2082,4.78795,-40.69951,2.05768,4.93461,2.87335,-0.03208,,82.48536,ChangeUp,0,0,,,,StrikeSwinging,Undefined,,,,1,1.0,1.0,1.0,,,,1.0,1.0,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,3
,3,"Berg, Jack",2.0,0.0,Strikeout,Slider,Undefined,0.0,-1.332128,3.143056,2467.007474,105.576901,3:30,5.4864,-3.10695,4.87283,-41.25648,0.14433,3.68449,0.78567,0.17729,,83.47967,Slider,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,3
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Slider,Undefined,0.0,-0.549225,4.408319,2311.654898,101.176035,3:15,5.47125,-3.06108,5.11783,-41.61971,0.66047,2.59791,1.48402,1.31628,,82.26018,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,0-0 Count,3
,2,"Berg, Jack",0.0,1.0,Undefined,Fastball,Undefined,0.0,-1.979184,2.863009,2013.654376,307.070956,10:15,5.65413,-3.04153,4.75352,-20.81674,12.15072,-14.74509,2.03933,-1.55285,,93.9162,Slider,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,Neutral Count,1
,3,"Berg, Jack",1.0,1.0,Undefined,Slider,Undefined,0.0,-1.267596,2.450332,2399.580088,93.328974,3:00,5.50986,-3.05633,4.72557,-42.38282,1.05532,4.55571,0.7739,-0.35027,,81.9369,Fastball,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,Neutral Count,3
,4,"Berg, Jack",2.0,1.0,Undefined,ChangeUp,Undefined,0.0,-1.381279,6.078742,1619.622876,269.227511,9:00,5.55059,-2.88618,5.4134,-39.98057,1.20465,-17.9795,0.91726,1.33184,,83.88349,Slider,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,Pitcher's Count,0
